timestamp,provider,region,continent,honeypot,event_type,protocol,dst_port,src_ip,src_country,asn,ip_reputation,src_os,username,password,cve,action,payload_sample_hash,bytes_in,bytes_out,session_id,hour,dow,anomaly_score,anomaly_percentile,anomaly_z
2025-07-06 20:58:00,azure,southeast asia,Asia,dionaea,malware_capture,udp,110,229.4.177.4,gb,,unknown,linux 2.6.x,,,cve-2012-0152,connection_attempted,3ee288d8d2363c96,3571,4410,a4e4e8c12333,20,6,0.21860519,0.82,0.7664587
2025-07-06 21:42:00,azure,southeast asia,Asia,dionaea,service_probe,tcp,110,38.50.88.86,br,,bad_reputation,unknown,,,cve-2001-0540,authentication_failed,,5642,1863,b9736b95a3b0,21,6,0.20349087,0.736,0.44040814
2025-07-06 22:31:00,gcp,us-east4-c,North America,cowrie,command_input,tcp,8080,46.11.137.246,vn,,bad_reputation,linux 3.x,oracle,qwerty,nan,alert_logged,,1181,233,26ab8d66a154,22,6,0.46722,1.0,6.1296496
2025-07-06 22:42:00,azure,east us,North America,dionaea,malware_capture,udp,8080,116.66.8.199,sg,,bad_reputation,windows 7/8,,,cve-2006-2369,authentication_failed,c9d2bad48290e2e9,5318,1798,a5be99f282b8,22,6,0.3437074,0.994,3.4652004
2025-07-06 22:59:00,azure,east us,North America,cowrie,ssh_login_attempt,tcp,8080,221.167.134.138,sg,,known_attacker,linux 2.6.x,user,qwerty,nan,payload_captured,,5188,3241,4ebdd2767511,22,6,0.27719092,0.956,2.0302873
2025-07-06 23:24:00,gcp,us-east4-c,North America,cowrie,ssh_login_attempt,udp,587,216.233.150.90,cn,,bad_reputation,linux 2.6.x,,,nan,authentication_failed,,4425,1452,e562326c7c67,23,6,0.21475609,0.81,0.6834247
2025-07-06 23:56:00,azure,southeast asia,Asia,dionaea,malware_capture,udp,995,207.24.63.157,gb,,benign_suspected,linux 3.x,,,cve-2005-4050,authentication_failed,5b8a8a65c6547be0,4518,2543,ac2ee7b2f398,23,6,0.21963851,0.826,0.7887498
2025-07-07 00:12:00,gcp,us-east4-c,North America,dionaea,exploit_attempt,tcp,53,153.127.144.178,in,,known_attacker,linux 2.6.x,,,cve-2012-0152,command_executed,,6482,3132,5ac7be1380c6,0,0,0.19476813,0.674,0.25223872
2025-07-07 02:55:00,gcp,us-east4-c,North America,cowrie,ssh_login_attempt,udp,25,118.5.150.33,in,,known_attacker,windows xp,user,,nan,authentication_failed,,3378,5188,ba5de705e999,2,0,0.21465379,0.808,0.68121797
2025-07-07 03:35:00,gcp,us-east4-c,North America,dionaea,exploit_attempt,tcp,993,211.104.91.104,gb,,benign_suspected,windows 7/8,,,cve-2001-0540,alert_logged,,4380,3135,7b408508af6f,3,0,0.16061711,0.368,-0.48447698
2025-07-07 05:16:00,aws,us-east-1c,North America,cowrie,telnet_login_attempt,tcp,995,233.181.146.174,sg,,bad_reputation,linux 2.6.x,support,P@ssw0rd,nan,payload_captured,,5233,1443,51555c984ca3,5,0,0.14712927,0.218,-0.77544075
2025-07-07 08:21:00,aws,us-east-1c,North America,glutton,ssh_banner_grab,udp,465,75.240.129.36,us,,benign_suspected,unknown,,,nan,payload_captured,,3185,3252,0088c264a197,8,0,0.15143359,0.26,-0.68258667
2025-07-07 08:41:00,gcp,europe-west2-c,Europe,cowrie,ssh_login_attempt,tcp,22,119.79.30.20,sg,,bad_reputation,linux 2.6.x,pi,admin,nan,authentication_failed,,314,4006,0e03864c9b4d,8,0,0.20129274,0.724,0.39298946
2025-07-07 09:11:00,gcp,us-east4-c,North America,dionaea,exploit_attempt,udp,135,98.118.222.199,de,,spam,linux 3.x,,,cve-2006-2369,command_executed,,2322,2880,8e5f04e85156,9,0,0.15424834,0.296,-0.621866
2025-07-07 09:16:00,gcp,europe-west2-c,Europe,cowrie,telnet_login_attempt,udp,587,145.31.184.209,gb,,known_attacker,windows 7/8,test,P@ssw0rd,nan,authentication_failed,,4326,1088,4778afdc2db7,9,0,0.13686903,0.114,-0.9967776
2025-07-07 11:58:00,azure,southeast asia,Asia,dionaea,exploit_attempt,udp,995,145.93.39.99,ie,,benign_suspected,windows 7/8,,,cve-2001-0540,command_executed,,4842,1671,74e26f5c6452,11,0,0.1578815,0.334,-0.54349047
2025-07-07 13:34:00,aws,us-east-1c,North America,dionaea,service_probe,tcp,143,231.38.176.63,ru,,bad_reputation,linux 4.x,,,cve-2005-4050,authentication_failed,,4581,2514,7a7007be8ab5,13,0,0.1611882,0.376,-0.47215733
2025-07-07 14:25:00,azure,southeast asia,Asia,dionaea,exploit_attempt,udp,587,148.187.7.101,gb,,bad_reputation,linux 3.x,,,cve-2006-2369,payload_captured,,4895,2819,2fafc0617100,14,0,0.14962913,0.248,-0.721513
2025-07-07 15:18:00,gcp,us-east4-c,North America,dionaea,exploit_attempt,udp,5060,79.199.225.52,in,,unknown,windows 7/8,,,cve-2001-0540,command_executed,,5608,2985,d3b17681cf9f,15,0,0.20929606,0.78,0.5656395
2025-07-07 17:07:00,azure,southeast asia,Asia,heralding,credential_capture,tcp,139,166.114.53.84,ru,,known_attacker,windows xp,guest,P@ssw0rd,nan,connection_attempted,,6080,2933,d41f6056d618,17,0,0.16804367,0.436,-0.3242691
2025-07-07 17:14:00,azure,southeast asia,Asia,mailoney,relay_attempt,tcp,135,15.3.92.219,vn,,known_attacker,windows 7/8,,,nan,alert_logged,,3814,3910,3ab62c76a6bc,17,0,0.17744331,0.52,-0.121497355
2025-07-07 17:42:00,azure,southeast asia,Asia,cowrie,command_input,udp,443,184.122.33.159,sg,,bad_reputation,linux 2.6.x,test,12345678,nan,alert_logged,,2448,2445,beb926a1a59f,17,0,0.16254488,0.382,-0.44289073
2025-07-07 18:29:00,gcp,us-east4-c,North America,mailoney,smtp_probe,tcp,5060,248.80.113.107,in,,unknown,windows xp,,,nan,alert_logged,3df2d6123becbaf1,5031,379,ef44b888c359,18,0,0.265871,0.942,1.7860903
2025-07-07 19:46:00,gcp,europe-west2-c,Europe,dionaea,malware_capture,tcp,465,71.225.136.78,sg,,benign_suspected,windows 7/8,,,cve-2001-0540,connection_attempted,48c2cec13469f401,3736,1014,c6ca58ef9fae,19,0,0.20383736,0.738,0.44788286
2025-07-07 20:12:00,aws,us-east-1c,North America,cowrie,command_input,tcp,5060,28.66.17.219,ie,,benign_suspected,linux 4.x,postgres,password,nan,authentication_failed,,3479,1470,ae0c8df12130,20,0,0.25979307,0.932,1.6549758
2025-07-07 20:23:00,gcp,us-east4-c,North America,mailoney,relay_attempt,udp,139,113.192.229.121,de,,bad_reputation,linux 2.6.x,,,nan,command_executed,,4805,1091,581d6d8533de,20,0,0.20323107,0.734,0.43480363
2025-07-07 20:24:00,azure,southeast asia,Asia,glutton,ssh_banner_grab,udp,465,1.90.29.66,gb,,bad_reputation,linux 2.6.x,,,nan,connection_attempted,,3362,654,2e60f68ab961,20,0,0.20778628,0.766,0.53306997
2025-07-07 22:10:00,gcp,us-east4-c,North America,dionaea,service_probe,tcp,465,9.41.21.183,ve,,known_attacker,windows xp,,,cve-2006-2369,authentication_failed,,4937,3925,1112b063a860,22,0,0.19682375,0.686,0.29658306
2025-07-07 22:33:00,gcp,us-east4-c,North America,vnclowpot,vnc_auth_attempt,udp,139,236.40.26.176,ve,,unknown,linux 2.6.x,,,cve-2001-0540,authentication_failed,,6766,1815,a40533583e22,22,0,0.24627624,0.906,1.3633868
2025-07-08 02:01:00,aws,us-east-1c,North America,dionaea,exploit_attempt,tcp,110,33.97.42.234,vn,,unknown,linux 2.6.x,,,cve-2006-2369,command_executed,,4246,5788,44d1a684159f,2,1,0.24877295,0.912,1.4172463
2025-07-08 03:32:00,azure,east us,North America,cowrie,ssh_login_attempt,udp,5060,195.219.232.212,ve,,spam,linux 2.6.x,postgres,qwerty,nan,payload_captured,,3806,3285,09fd5d513cdd,3,1,0.19255917,0.654,0.20458631
2025-07-08 04:19:00,azure,southeast asia,Asia,heralding,credential_capture,tcp,993,180.23.47.131,sg,,known_attacker,unknown,admin,123456,nan,command_executed,,5621,369,641579efa9ab,4,1,0.16600434,0.412,-0.36826205
2025-07-08 08:03:00,aws,us-east-1c,North America,glutton,tcp_connect,udp,25,9.241.147.164,ru,,bad_reputation,linux 3.x,,,nan,payload_captured,,2172,1395,78153c0a41ef,8,1,0.12707011,0.06,-1.2081627
2025-07-08 08:12:00,gcp,us-east4-c,North America,dionaea,malware_capture,udp,22,235.115.72.106,cn,,known_attacker,linux 2.6.x,,,cve-2001-0540,authentication_failed,c7f67bb371de0f22,6701,5141,a10b7101f6e9,8,1,0.18051156,0.566,-0.0553081
2025-07-08 08:15:00,azure,east us,North America,heralding,credential_capture,tcp,993,149.238.141.27,us,,bad_reputation,linux 4.x,admin,admin,nan,command_executed,,4585,2813,07ff35927515,8,1,0.121119596,0.026,-1.3365289
2025-07-08 12:10:00,azure,southeast asia,Asia,cowrie,command_input,tcp,139,53.208.40.127,vn,,bad_reputation,unknown,oracle,,nan,payload_captured,,4836,2997,9a9d445c7bc4,12,1,0.115322255,0.018,-1.4615909
2025-07-08 13:36:00,aws,us-east-1c,North America,dionaea,malware_capture,udp,465,3.56.181.4,br,,bad_reputation,unknown,,,cve-2006-2369,connection_attempted,73d7492e378646d3,2083,4690,43c53685a757,13,1,0.19392733,0.668,0.23410077
2025-07-08 15:46:00,gcp,europe-west2-c,Europe,dionaea,exploit_attempt,udp,139,206.200.71.30,br,,unknown,unknown,,,cve-2006-2369,command_executed,,5555,2182,58034a9903e5,15,1,0.15309687,0.278,-0.64670587
2025-07-08 18:13:00,azure,east us,North America,dionaea,malware_capture,tcp,53,153.33.191.253,de,,bad_reputation,unknown,,,cve-2001-0540,connection_attempted,829284c909163b73,4944,3654,70470e2a7283,18,1,0.15919651,0.35,-0.51512265
2025-07-08 18:24:00,gcp,us-east4-c,North America,honeytrap,unknown_service_probe,tcp,5900,213.180.180.202,ru,,unknown,windows 7/8,,,nan,command_executed,,10178,4067,3c56742ca943,18,1,0.24201271,0.898,1.2714125
2025-07-08 18:33:00,aws,us-east-1c,North America,vnclowpot,vnc_auth_attempt,tcp,143,226.31.21.24,ve,,bad_reputation,windows 7/8,,,cve-2012-0152,alert_logged,,4615,4190,a2d0c67882ed,18,1,0.18372197,0.59,0.013947811
2025-07-08 19:28:00,azure,southeast asia,Asia,rdpy,rdp_session_start,udp,1433,124.213.153.20,sg,,bad_reputation,linux 4.x,,,cve-2012-0152,command_executed,,4835,1568,60498e1047f4,19,1,0.17992707,0.562,-0.067917064
2025-07-08 20:57:00,gcp,europe-west2-c,Europe,dionaea,service_probe,tcp,995,195.232.56.240,ve,,known_attacker,linux 2.6.x,,,cve-2001-0540,alert_logged,,4892,4470,1dccba8f8261,20,1,0.16715273,0.422,-0.3434887
2025-07-08 22:16:00,gcp,europe-west2-c,Europe,glutton,tcp_connect,tcp,995,200.249.229.145,sg,,bad_reputation,unknown,,,nan,authentication_failed,,7873,2332,7ccc948e632a,22,1,0.18535665,0.6,0.04921144
2025-07-08 23:13:00,azure,east us,North America,heralding,credential_capture,udp,80,158.43.235.16,vn,,bad_reputation,unknown,,,nan,payload_captured,,7524,3010,85d9c6b2e6de,23,1,0.19764695,0.692,0.31434134
2025-07-08 23:41:00,gcp,europe-west2-c,Europe,dionaea,exploit_attempt,udp,443,34.254.232.35,us,,unknown,unknown,,,cve-2012-0152,alert_logged,,3372,4801,50df4b848bb3,23,1,0.23167682,0.874,1.0484437
2025-07-09 00:17:00,azure,east us,North America,cowrie,command_input,tcp,143,200.169.42.157,vn,,known_attacker,linux 3.x,support,password,nan,authentication_failed,,5424,2240,946387e78f33,0,2,0.14250046,0.18,-0.8752947
2025-07-09 00:58:00,gcp,us-east4-c,North America,vnclowpot,vnc_auth_attempt,udp,80,46.197.37.104,br,,bad_reputation,linux 2.6.x,,,cve-2005-4050,command_executed,,3299,3015,40b47462c582,0,2,0.15600865,0.32,-0.58389217
2025-07-09 01:39:00,azure,east us,North America,heralding,credential_capture,udp,3306,143.149.34.214,ie,,unknown,windows xp,pi,admin,nan,payload_captured,,8202,3934,1fb7e805f534,1,2,0.21920411,0.822,0.77937883
2025-07-09 02:37:00,gcp,europe-west2-c,Europe,cowrie,ssh_login_attempt,tcp,995,246.146.1.23,vn,,unknown,linux 2.6.x,user,raspberry,nan,alert_logged,,902,3467,5efcbdc4d047,2,2,0.16716556,0.424,-0.34321195
2025-07-09 04:39:00,aws,us-east-1c,North America,dionaea,service_probe,tcp,22,27.229.191.102,gb,,bad_reputation,windows 7/8,,,cve-2012-0152,alert_logged,,5748,3809,fd9fc9172c7a,4,2,0.16006753,0.362,-0.4963328
2025-07-09 05:19:00,azure,southeast asia,Asia,mailoney,smtp_probe,tcp,25,175.7.76.156,vn,,unknown,linux 3.x,,,nan,alert_logged,aa2c4963bfdf3526,9163,5578,70686fe21c28,5,2,0.23616213,0.884,1.145202
2025-07-09 05:25:00,gcp,us-east4-c,North America,glutton,ssh_banner_grab,tcp,22,191.29.148.67,ie,,bad_reputation,linux 3.x,,,nan,alert_logged,,120,3811,c61e8f7d2d38,5,2,0.19024348,0.634,0.15463169
2025-07-09 07:36:00,gcp,europe-west2-c,Europe,heralding,credential_capture,tcp,110,94.48.103.41,vn,,known_attacker,linux 2.6.x,pi,admin,nan,payload_captured,,5587,1686,41a3f15ea3d0,7,2,0.13060984,0.08,-1.1318027
2025-07-09 11:16:00,azure,southeast asia,Asia,cowrie,command_input,udp,443,215.182.23.193,ru,,known_attacker,unknown,support,toor,nan,connection_attempted,,7566,2098,714f96ae510b,11,2,0.13589008,0.104,-1.0178957
2025-07-09 15:27:00,gcp,us-east4-c,North America,cowrie,command_input,tcp,135,33.188.137.81,in,,benign_suspected,linux 3.x,root,,nan,command_executed,,2964,4752,5952e6c07ad9,15,2,0.16534726,0.4,-0.3824368
2025-07-09 16:45:00,azure,east us,North America,dionaea,service_probe,tcp,5900,7.121.249.229,gb,,bad_reputation,linux 3.x,,,cve-2006-2369,authentication_failed,,4840,832,b5da4dbadfe2,16,2,0.23114733,0.87,1.0370215
2025-07-09 18:26:00,azure,southeast asia,Asia,glastopf,sql_injection,tcp,110,209.104.28.175,in,,bad_reputation,linux 3.x,,,cve-2012-0152,alert_logged,,7621,3146,28c7fb0bd4f2,18,2,0.16032445,0.366,-0.4907903
2025-07-09 19:28:00,aws,us-east-1c,North America,dionaea,exploit_attempt,udp,993,111.184.32.160,sg,,bad_reputation,linux 3.x,,,cve-2001-0540,alert_logged,,3809,5155,3fbdacd5184d,19,2,0.19317843,0.662,0.21794523
2025-07-09 20:41:00,gcp,europe-west2-c,Europe,cowrie,telnet_login_attempt,udp,587,54.21.35.206,ru,,unknown,unknown,admin,toor,nan,authentication_failed,,4058,3645,ef7fab3c4c74,20,2,0.14704004,0.214,-0.77736557
2025-07-09 21:22:00,aws,us-east-1c,North America,glutton,tcp_connect,udp,110,24.94.74.69,ie,,bad_reputation,linux 3.x,,,nan,alert_logged,,4561,3827,98cdcb249732,21,2,0.16729338,0.43,-0.34045452
2025-07-09 21:38:00,gcp,europe-west2-c,Europe,cowrie,telnet_login_attempt,tcp,3306,158.199.134.200,de,,bad_reputation,windows xp,pi,123456,nan,connection_attempted,,7015,3889,0510fab530bf,21,2,0.12783198,0.064,-1.1917274
2025-07-09 22:38:00,azure,southeast asia,Asia,dionaea,exploit_attempt,tcp,143,196.182.60.77,us,,bad_reputation,linux 3.x,,,cve-2005-4050,alert_logged,,7017,5363,c1ffa41ab4ea,22,2,0.18257931,0.582,-0.010702108
2025-07-10 00:30:00,azure,southeast asia,Asia,cowrie,ssh_login_attempt,tcp,443,127.214.168.210,in,,known_attacker,windows xp,user,12345678,nan,authentication_failed,,7907,1932,02a5a266568a,0,3,0.19279273,0.658,0.20962477
2025-07-10 01:11:00,gcp,us-east4-c,North America,rdpy,rdp_session_start,udp,139,239.229.122.239,cn,,unknown,linux 2.6.x,,,cve-2001-0540,payload_captured,,7427,2855,430dfbc6a522,1,3,0.20116702,0.722,0.39027736
2025-07-10 03:07:00,gcp,europe-west2-c,Europe,cowrie,ssh_login_attempt,tcp,1433,94.212.201.120,ru,,known_attacker,linux 2.6.x,guest,toor,nan,alert_logged,,5262,3978,63d24486cf00,3,3,0.12329188,0.034,-1.2896678
2025-07-10 04:56:00,aws,us-east-1c,North America,dionaea,exploit_attempt,tcp,445,3.164.70.236,in,,known_attacker,linux 2.6.x,,,cve-2012-0152,authentication_failed,,8088,3591,a2f14c287059,4,3,0.18034571,0.564,-0.05888586
2025-07-10 10:35:00,azure,east us,North America,cowrie,command_input,tcp,445,28.175.201.47,sg,,known_attacker,linux 2.6.x,pi,toor,nan,command_executed,,4659,286,e795587496b5,10,3,0.14539023,0.198,-0.8129558
2025-07-10 13:15:00,azure,east us,North America,vnclowpot,vnc_auth_attempt,udp,3389,34.153.151.233,ru,,unknown,unknown,,,cve-2005-4050,connection_attempted,,5365,2234,9c1c26d23aac,13,3,0.15022196,0.254,-0.7087243
2025-07-10 13:36:00,gcp,europe-west2-c,Europe,cowrie,ssh_login_attempt,tcp,1433,174.242.190.167,br,,benign_suspected,linux 3.x,admin,qwerty,nan,payload_captured,,3618,551,9e1603db21ec,13,3,0.1500183,0.252,-0.7131176
2025-07-10 13:36:00,aws,us-east-1c,North America,cowrie,command_input,udp,23,203.151.177.80,de,,known_attacker,unknown,root,qwerty,nan,alert_logged,,1715,2816,ba559067f12d,13,3,0.14421535,0.188,-0.8383007
2025-07-10 14:43:00,gcp,us-east4-c,North America,dionaea,exploit_attempt,tcp,3389,99.106.29.187,ru,,bad_reputation,windows 7/8,,,cve-2012-0152,authentication_failed,,4152,3451,0e1969fea592,14,3,0.12599258,0.056,-1.2314075
2025-07-10 16:39:00,azure,east us,North America,glastopf,lfi_rfi,tcp,445,78.221.241.254,cn,,bad_reputation,windows xp,,,cve-2001-0540,payload_captured,dd964e7c6409a6c0,8296,1170,045a8c7d1feb,16,3,0.20922083,0.776,0.56401646
2025-07-10 17:36:00,aws,us-east-1c,North America,glastopf,sql_injection,tcp,22,4.216.130.110,gb,,bad_reputation,linux 3.x,,,cve-2012-0152,command_executed,,5126,3846,ef843cffaaa4,17,3,0.1537258,0.286,-0.63313836
2025-07-10 17:44:00,azure,southeast asia,Asia,cowrie,ssh_login_attempt,tcp,139,95.175.243.238,us,,bad_reputation,linux 2.6.x,test,qwerty,nan,alert_logged,,3611,2559,d644e6353024,17,3,0.1252817,0.044,-1.2467427
2025-07-10 17:47:00,aws,us-east-1c,North America,vnclowpot,vnc_auth_attempt,udp,995,177.200.40.144,gb,,known_attacker,unknown,,,cve-2006-2369,command_executed,,2132,3261,50b4543a0ce4,17,3,0.1685164,0.44,-0.31407133
2025-07-10 17:53:00,gcp,us-east4-c,North America,dionaea,service_probe,udp,3306,127.134.103.232,vn,,bad_reputation,windows 7/8,,,cve-2006-2369,connection_attempted,,6271,895,7ce4ba2cad7e,17,3,0.17838268,0.54,-0.10123301
